time     cpuC  cpuW  gpuC  tlim  gpuW  gpu_    mhz      fan3  pct      fan4  pct
5s         48    25    50    40    25     0    195       714   30       687   29
10s        48    24    50    40    25     0    195       714   30       687   29
16s        48    25    50    40    24     0    202       714   30       687   29
21s        48    24    50    40    24     0    195       714   30       687   29
26s        48    25    50    40    25     0    195       714   30       687   29
31s        48    24    50    40    24     0    195       712   30       687   29
37s        49    27    50    40    26     0    292       712   30       687   29
42s        49    33    51    39    82     2   2572       712   30       687   29
47s        49    35    52    38    62     9   1185       712   30       687   29
52s        50    41    52    38    83     3   2580       712   30       687   29
58s        50    40    51    39    60     3    517       716   30       687   29
63s        50    41    53    37    96    15   1425       718   30       689   29
68s        51    49    57    33   204    48   2842       720   30       689   30
74s        50    48    58    32   207    47   2842       727   34       693   30
79s        51    49    59    31   207    47   2842       739   34       695   30
84s        51    49    59    31   208    49   2842       752   34       697   30
89s        52    53    59    30   267    64   2827       764   34       699   30
95s        52    57    61    29   267    65   2827       775   38       703   32
100s       52    53    59    32   204    43   2842       885   38       711   32
105s       52    47    58    31   195    43   2842       885   38       720   32
110s       52    46    58    32   195    42   2842       887   38       728   32
116s       52    46    58    32   194    42   2842       887   38       732   32
121s       52    46    58    32   194    41   2842       889   38       736   32
126s       53    46    58    32   194    41   2842       889   38       738   30
131s       53    47    57    32   194    43   2842       889   38       738   30
137s       53    47    57    33   195    44   2842       889   38       736   30
142s       53    46    57    33   195    43   2842       891   38       734   30
147s       55    60    59    31   268    65   2820       887   34       732   32
153s       55    60    59    31   267    66   2827       877   34       734   32
158s       55    56    59    31   160    84   2842       868   34       742   32
163s       56    59    61    29   309    88   2827       860   34       748   32
169s       55    56    61    29   310    87   2820       858   38       752   32
174s       55    56    61    29   309    89   2827       862   38       758   32
179s       55    55    62    28   316    89   2820       868   38       762   32
185s       55    55    62    28   322    89   2812       872   38       764   32
190s       56    55    62    28   315    88   2820       876   38       766   32
195s       56    55    62    27   326    88   2805       880   38       770   32
201s       56    57    62    28   315    89   2820       882   38       772   32
206s       56    55    62    28   317    88   2820       884   38       772   32
211s       56    55    63    27   319    89   2820       886   38       774   32
216s       56    55    63    27   325    88   2805       886   38       776   32
222s       56    55    62    28   316    88   2812       888   38       776   32
227s       56    55    62    28   309    89   2812       890   38       778   32
232s       57    57    62    28   312    89   2820       890   38       778   32
237s       58    56    63    28   317    88   2820       892   38       778   32
243s       58    55    62    28   311    88   2812       892   38       782   34
248s       57    54    62    28   315    88   2812       892   38       786   34
253s       57    55    62    28   317    88   2812       892   38       792   34
258s       57    54    63    28   327    88   2797       894   38       796   34
264s       57    55    63    27   333    88   2797       894   38       800   34
269s       57    54    63    28   320    89   2812       894   38       802   34
274s       57    54    62    28   319    89   2812       894   38       804   34
280s       57    54    62    28   320    89   2812       894   38       804   34
285s       57    54    62    28   318    89   2812       894   38       804   34
290s       57     0    62    28   322    89   2812       894   38       804   34
295s       57    55    62    28   319    88   2805       896   38       804   34
301s       57    54    62    28   316    88   2812       896   38       804   34
306s       57    54    63    28   330    88   2805       896   38       802   34
